Date,Week,Month,Quarter,Year,EMS,Wind,Temp_mean,H2O,Sunspots,Sud_Imp,Sud_Storm,Dst_mean,Dst_var,Dst_group,PC1,PC2
2009-01-01,1,1,1,2009,4,1,-16.4,0,0,No,No,-11,13,level_1,0.03587001121013851,0.8254408825882401
2009-01-02,1,1,1,2009,7,1,-18.8,0,0,No,No,-7,10,level_1,-1.0727388528530697,0.19418844141964758
2009-01-03,1,1,1,2009,3,1,-14.1,0,0,No,No,-11,11,level_1,-0.020566170278107435,0.13683274445040433
2009-01-04,1,1,1,2009,7,3,-9.6,0,0,No,No,-10,16,level_1,-0.33305529311450555,0.3286038754683054
2009-01-05,1,1,1,2009,8,3,-16.9,0,0,No,No,-8,8,level_1,-0.8110297728478825,0.4591371328089654
2009-01-06,1,1,1,2009,8,2,-18,0,0,No,No,-12,13,level_1,0.285898077854686,0.36193492758395046
2009-01-07,1,1,1,2009,2,2,-17.1,1.4,0,No,No,-6,11,level_1,-1.4524709814352184,-0.48699937931646003
2009-01-08,2,1,1,2009,7,2,-18.2,0,0,No,No,-2,11,level_1,-2.7040899852889617,-0.036708435475757306
2009-01-09,2,1,1,2009,7,3,-14.9,2,7,No,No,-4,21,level_1,-1.8261179268165995,-0.11642360528124923
2009-01-10,2,1,1,2009,5,1,-13.6,0.2,9,No,No,-6,10,level_1,-1.3490280571162032,0.2393041365250267
2009-01-11,2,1,1,2009,11,2,-15.3,0,10,No,No,-9,12,level_1,-0.6277864279512376,0.8196424950293194
2009-01-12,2,1,1,2009,9,4,-15.2,0,8,No,No,-4,14,level_1,-1.9759155825913253,-0.6256516347283624
2009-01-13,2,1,1,2009,6,2,-12.7,0,0,No,No,3,20,level_1,-4.127146937759394,1.335444536067516
2009-01-14,2,1,1,2009,10,4,-12.4,0.2,0,No,No,-9,24,level_1,-0.3068604319118443,2.162075315395799
2009-01-15,3,1,1,2009,12,2,-9.3,0,0,No,No,-12,14,level_1,0.5097863804695214,-0.15510903579162877
2009-01-16,3,1,1,2009,22,4,-10.2,0.5,0,No,No,-9,16,level_1,-0.6450013242196573,0.5760943062264057
2009-01-17,3,1,1,2009,7,2,-13,1.4,0,No,No,-7,13,level_1,-1.0342798223780632,0.5229990295800859
2009-01-18,3,1,1,2009,6,2,-13.1,2.3,0,No,No,-4,16,level_1,-2.0035024139222424,-0.16625691941722046
2009-01-19,3,1,1,2009,4,3,-11.8,0,7,No,No,-5,29,level_1,-1.6710202196719564,1.598183763234238
2009-01-20,3,1,1,2009,6,3,-16.1,0.7,0,No,No,-8,11,level_1,-0.8851649538562125,-0.03417807524271685
2009-01-21,3,1,1,2009,8,6,-21.7,0.2,0,No,No,-6,11,level_1,-1.483799357593261,0.544107711456852
2009-01-22,4,1,1,2009,5,5,-24.8,0.3,0,No,No,-2,13,level_1,-2.606987585877562,-1.0015829900853042
2009-01-23,4,1,1,2009,11,2,-20,2.3,0,No,No,2,9,level_1,-3.7702130890658894,-0.014692250260789463
2009-01-24,4,1,1,2009,5,2,-19.1,0,0,No,No,2,13,level_1,-3.759498818087253,-1.0654368860569408
2009-01-25,4,1,1,2009,6,2,-22.2,0,0,No,No,5,16,level_1,-4.615950498680231,0.1620648169107603
2009-01-26,4,1,1,2009,19,2,-18.7,0,0,No,No,-4,49,level_2,-1.7176747383565134,3.647976733345335
2009-01-27,4,1,1,2009,11,6,-13.1,0.7,0,No,No,-9,12,level_1,-0.4119779452888737,0.22224772265013276
2009-01-28,4,1,1,2009,15,2,-16.2,0.2,0,No,No,-5,20,level_1,-1.5615990003326479,-1.065254829326223
2009-01-29,5,1,1,2009,16,2,-20.1,0,0,No,No,-6,28,level_1,-1.3549473290370304,2.0900158124877017
2009-01-30,5,1,1,2009,9,2,-18.9,0,0,Yes,No,-4,18,level_1,-2.0845359889450306,-0.23246475230288205
2009-01-31,5,1,1,2009,3,3,-19.2,0,0,No,No,-3,25,level_1,-2.4017327158298167,2.1411947327936365
2009-02-01,5,2,1,2009,5,4,-16.1,0.8,0,No,No,-9,10,level_1,-0.48513290294654154,-0.1579395154054885
2009-02-02,5,2,1,2009,14,3,-14.4,0,0,No,No,-3,14,level_1,-2.2027908406698087,-0.5138430496191769
2009-02-03,5,2,1,2009,4,5,-14.8,0.2,0,No,No,-3,21,level_1,-2.5089894249413347,1.039829683870337
2009-02-04,5,2,1,2009,16,4,-16.1,0,0,No,No,-17,45,level_2,2.1053116802097342,3.6303306549578456
2009-02-05,6,2,1,2009,5,4,-12.6,0,0,No,No,-18,17,level_2,2.120140525274344,-0.7797934995708445
2009-02-06,6,2,1,2009,10,4,-8.7,0,0,No,No,-14,19,level_1,0.921006770020044,-0.8119898703171271
2009-02-07,6,2,1,2009,8,2,-5.8,0,0,No,No,-5,12,level_1,-1.7065539590208825,-0.07293744014290943
2009-02-08,6,2,1,2009,4,3,-6.2,0,0,No,No,-2,12,level_1,-2.4860160013225765,0.6198883782086123
2009-02-09,6,2,1,2009,8,2,-9.4,0,0,No,No,-3,11,level_1,-2.1747749987012117,0.09678203451429945
