Date,Month,Year,EMS,Wind,Temp_mean,H2O,Sunspots,Sud_Imp,Sud_Storm,Dst_mean,Dst_var,Dst_group,PC1,PC2
2006-11-30,11,2006,3,3,-12.4,1.4,58,No,No,-47,59,level_3,-12.203775721558099,-1.75916502419604
2006-12-01,12,2006,4,6,-20.9,0,56,No,No,-25,18,level_2,-4.92744424870957,1.2747732443279216
2006-12-02,12,2006,3,2,-20.7,0,53,No,No,-17,10,level_2,-2.1576848647271407,0.6001627760375476
2006-12-03,12,2006,2,2,-13.9,0.7,46,No,No,-15,11,level_2,-1.7114205296655791,-0.23090400881563225
2006-12-04,12,2006,5,2,-16.2,0,39,No,No,-13,10,level_1,-1.0844005672654164,-0.6247964546610412
2006-12-05,12,2006,3,1,-15.5,0,46,No,No,-4,19,level_1,2.051121132901155,1.4993269087893173
2006-12-06,12,2006,10,1,-14.9,0.2,54,No,No,-32,51,level_3,-7.34118883755997,-3.133221448245013
2006-12-07,12,2006,2,1,-14.4,0,51,No,No,-35,21,level_2,-8.031881525773326,-0.7225619524306138
2006-12-08,12,2006,2,1,-14.2,0,28,No,No,-27,18,level_2,-5.434468156622852,0.4394014569434077
2006-12-09,12,2006,5,1,-8.1,0,21,No,No,-23,23,level_2,-4.233403086164365,-1.4633748900125885
2006-12-10,12,2006,3,2,-5.6,0,23,No,No,-28,16,level_2,-5.76318388689203,-0.8610030042220413
2006-12-11,12,2006,7,3,-11.2,0.2,28,No,No,-27,20,level_2,-5.367368475099465,0.7457828637036441
2006-12-12,12,2006,6,4,-12.3,0.4,28,No,No,-39,35,level_3,-9.45694920012717,-1.1794000023086884
2006-12-13,12,2006,7,2,-11.9,0,26,No,No,-33,15,level_2,-7.397587475535247,0.7500671349341705
2006-12-14,12,2006,7,1,-8.9,0.3,23,No,Yes,-27,62,level_3,-5.473755294345075,-0.6931241381862061
2006-12-15,12,2006,2,5,-17.3,1.2,21,No,No,-116,90,level_5,-33.842512274995244,9.636162770244313
2006-12-16,12,2006,4,3,-15.7,0,20,Yes,No,-56,38,level_3,-14.753516116229276,2.2744904839819835
2006-12-17,12,2006,4,1,-10.2,0,15,No,No,-41,13,level_2,-9.950256259279312,0.07345072543818443
2006-12-18,12,2006,6,2,-6.6,0,0,Yes,No,-31,30,level_2,-6.709154909320394,2.151216975557648
2006-12-19,12,2006,4,2,-7.6,0,0,No,No,-37,15,level_2,-8.857465474140488,-0.31756601962986525
2006-12-20,12,2006,3,3,-4.8,0.3,0,No,No,-40,20,level_3,-9.675450700631666,-0.8636535830722176
2006-12-21,12,2006,3,2,-8.4,0,0,No,No,-41,13,level_2,-9.897044007704288,0.5030343739469979
2006-12-22,12,2006,7,3,-7.5,0.3,0,No,No,-40,21,level_3,-9.630323407923395,-1.0667429156287194
2006-12-23,12,2006,8,2,-7.5,0,0,No,No,-42,13,level_2,-10.184357295622833,-0.5421199862372765
2006-12-24,12,2006,4,4,-6.2,2.8,13,No,No,-35,20,level_2,-8.100502502230572,-0.4756854943079731
2006-12-25,12,2006,7,2,-16.7,0,16,No,No,-31,11,level_2,-6.960246368696367,-0.3525543392512648
2006-12-26,12,2006,5,2,-20.9,0,21,No,No,-28,11,level_2,-6.003109600487666,-0.4378789320138722
2006-12-27,12,2006,5,1,-17.6,0,20,No,No,-24,7,level_2,-4.593302946417087,0.01588820391439974
2006-12-28,12,2006,5,2,-16,0,0,No,No,-18,13,level_2,-2.753720031920634,0.6198138094191046
2006-12-29,12,2006,5,2,-8.4,0,0,No,No,-12,6,level_1,-0.5790166989454598,-0.2566610428772487
2006-12-30,12,2006,2,4,-9.7,0,16,No,No,-13,20,level_2,-0.9845755569987277,-0.6088951047213601
2006-12-31,12,2006,4,4,-12.8,0,28,No,No,-15,15,level_2,-1.5768321337100104,1.0613748498310485
2007-01-01,1,2007,0,2,-8.5,0,38,No,No,-3,19,level_1,2.286665795811058,0.00508066291396031
2007-01-02,1,2007,9,3,-9.3,0.2,42,No,No,-23,17,level_2,-4.159403770507308,-1.146511777734895
2007-01-03,1,2007,7,2,-9.1,4,44,No,No,-24,17,level_2,-4.575821724690295,-0.8469719795666422
2007-01-04,1,2007,8,5,-12.1,2.6,44,No,No,-24,18,level_2,-4.342245197452974,-0.6788446129137393
2007-01-05,1,2007,2,4,-21.3,0,49,No,No,-21,18,level_2,-3.6859273023925723,-1.0418903256526675
2007-01-06,1,2007,8,1,-16.5,0,47,No,No,-16,11,level_2,-2.020043903168586,-0.07521798922810063
2007-01-07,1,2007,4,1,-15.1,0,42,No,No,-16,14,level_2,-1.9569185639170883,0.2915955691271015
2007-01-08,1,2007,5,1,-14.4,0.2,52,No,No,-9,13,level_1,0.4063668261965313,0.3780420271841777
2007-01-09,1,2007,6,1,-10.5,1.3,47,No,No,-6,28,level_2,1.035857536348094,-1.7144904615241807
2007-01-10,1,2007,6,1,-12.7,0.9,42,No,No,-14,23,level_2,-1.3169127027490954,-1.555708198464643
2007-01-11,1,2007,9,1,-13,0,40,No,No,-14,20,level_2,-1.4304949767149897,-1.2149182628615927
2007-01-12,1,2007,7,3,-12.2,0,28,No,No,-20,13,level_2,-3.3036094299354053,-0.18399566657850283
2007-01-13,1,2007,5,2,-14.8,0,30,No,No,-13,13,level_2,-0.9805178995871329,0.786904981886372
2007-01-14,1,2007,3,1,-13.8,0,19,No,No,-5,14,level_1,1.7855985737839608,0.5180223329730297
2007-01-15,1,2007,5,2,-8.8,0,19,No,No,-17,26,level_2,-2.425555772547211,-1.285120888503097
2007-01-16,1,2007,8,2,-7.4,0.7,19,No,No,-16,23,level_2,-1.9308421386670716,-0.5101755964552211
2007-01-17,1,2007,5,2,-10.8,0,16,No,No,-27,15,level_2,-5.626898931180647,-1.0143425413043152
2007-01-18,1,2007,11,1,-10.7,0.5,17,No,No,-26,12,level_2,-5.11715748887473,0.5718900696307052
2007-01-19,1,2007,4,1,-11.2,0.6,24,No,No,-24,13,level_2,-4.6261350353838395,-0.06258263375151737
2007-01-20,1,2007,3,2,-15.5,0,19,No,No,-19,13,level_2,-2.840395290126459,-0.23863363427788203
2007-01-21,1,2007,4,1,-13.3,0,19,No,No,-17,17,level_2,-2.4509917918736788,-0.12501627747860503
2007-01-22,1,2007,6,2,-15.9,0,21,No,No,-12,14,level_1,-0.5838627736111891,-1.2603712165579484
2007-01-23,1,2007,10,2,-12.9,0,17,No,No,-11,13,level_1,-0.36491097366308034,0.25088971873399724
