Date,Year,Season,Month,DayOff,COVID,Temp_mean,Temp_min,Temp_max,H2O,Wind,Pressure,Sunspots,F10.7,Sudden_Start,Kp_Sum,Ap_mean,K_Sum,Dst_mean,Dst_var,Dst_level,EMS_UA,EMS_AMI
2006-11-30,2006,Autumn,November,No,No,-12.4,-17.4,-8.2,1.4,3,NA,58,82.7,No,28.667,28,24,-47,59,Moderate,11,8
2006-12-01,2006,Winter,December,No,No,-20.9,-25.5,-15.6,0,6,NA,56,81.8,No,9.335,5,9,-25,18,Weak,9,7
2006-12-02,2006,Winter,December,Yes,No,-20.7,-24.4,-15.5,0,2,NA,53,81.8,No,4.001,2,2,-17,10,Weak,5,3
2006-12-03,2006,Winter,December,Yes,No,-13.9,-18.2,-9.9,0.7,2,NA,46,84.8,No,6.667,3,4,-15,11,Weak,12,4
2006-12-04,2006,Winter,December,No,No,-16.2,-20.7,-10.5,0,2,NA,39,84.6,No,0.666,0,0,-13,10,Quiet,10,5
2006-12-05,2006,Winter,December,No,No,-15.5,-17.7,-12.1,0,1,NA,46,93.6,No,6.3340000000000005,3,5,-4,19,Quiet,6,12
2006-12-06,2006,Winter,December,No,No,-14.9,-18.9,-11.1,0.2,1,NA,54,99.4,No,31.001,26,27,-32,51,Moderate,12,5
2006-12-07,2006,Winter,December,No,No,-14.4,-17.3,-10.4,0,1,NA,51,99.7,No,30,25,26,-35,21,Weak,19,7
2006-12-08,2006,Winter,December,No,No,-14.2,-17.4,-10.5,0,1,NA,28,92.9,No,29.333,24,25,-27,18,Weak,3,2
2006-12-09,2006,Winter,December,Yes,No,-8.1,-13.6,-2.4,0,1,NA,21,93.1,No,14.334,8,14,-23,23,Weak,9,3
2006-12-10,2006,Winter,December,Yes,No,-5.6,-8.6,-2.7,0,2,NA,23,89.6,No,24.334,16,21,-28,16,Weak,6,3
2006-12-11,2006,Winter,December,No,No,-11.2,-17.9,-4.6,0.2,3,NA,28,87.3,No,21.001,14,18,-27,20,Weak,8,6
2006-12-12,2006,Winter,December,No,No,-12.3,-19.9,-5.3,0.4,4,NA,28,89.4,No,30.666,27,25,-39,35,Moderate,10,6
2006-12-13,2006,Winter,December,No,No,-11.9,-14.9,-9.1,0,2,NA,26,98.9,No,13.333,8,10,-33,15,Weak,13,5
2006-12-14,2006,Winter,December,No,No,-8.9,-12,-5.6,0.3,1,NA,23,90.7,Yes,32.666,47,28,-27,62,Moderate,13,3
2006-12-15,2006,Winter,December,No,No,-17.3,-21.5,-6.1,1.2,5,NA,21,90.5,No,46.001,94,37,-116,90,Severe,13,6
2006-12-16,2006,Winter,December,Yes,No,-15.7,-21.6,-10.3,0,3,NA,20,84.4,Yes,18.999,12,17,-56,38,Moderate,9,4
2006-12-17,2006,Winter,December,Yes,No,-10.2,-12.9,-7.1,0,1,NA,15,79.7,No,11.333,6,10,-41,13,Weak,9,5
2006-12-18,2006,Winter,December,No,No,-6.6,-10.1,-1,0,2,NA,0,78.7,Yes,18,11,17,-31,30,Weak,9,1
2006-12-19,2006,Winter,December,No,No,-7.6,-12.8,-1.8,0,2,NA,0,72.3,No,21.998,13,21,-37,15,Weak,10,11
2006-12-20,2006,Winter,December,No,No,-4.8,-7.7,-2,0.3,3,NA,0,70.6,No,29.668,24,26,-40,20,Moderate,9,2
2006-12-21,2006,Winter,December,No,No,-8.4,-14.4,-1.4,0,2,NA,0,69.2,No,25.666,18,22,-41,13,Weak,16,6
2006-12-22,2006,Winter,December,No,No,-7.5,-11.8,-3,0.3,3,NA,0,70,No,26.333,18,23,-40,21,Moderate,9,1
2006-12-23,2006,Winter,December,Yes,No,-7.5,-14,-2.5,0,2,NA,0,70.8,No,24.333,16,19,-42,13,Weak,7,11
2006-12-24,2006,Winter,December,Yes,No,-6.2,-10.4,-4.1,2.8,4,NA,13,70.3,No,20.666,12,16,-35,20,Weak,6,7
2006-12-25,2006,Winter,December,No,No,-16.7,-20,-9.9,0,2,NA,16,71.1,No,15.332,8,14,-31,11,Weak,8,7
2006-12-26,2006,Winter,December,No,No,-20.9,-24.5,-17,0,2,NA,21,73.9,No,9.334,4,8,-28,11,Weak,7,4
2006-12-27,2006,Winter,December,No,No,-17.6,-22,-11.5,0,1,NA,20,72.5,No,4,2,2,-24,7,Weak,12,4
2006-12-28,2006,Winter,December,No,No,-16,-19.6,-12.1,0,2,NA,0,70.9,No,4.332,2,4,-18,13,Weak,9,2
2006-12-29,2006,Winter,December,No,No,-8.4,-15.3,-3.9,0,2,NA,0,73.8,No,4.333,2,3,-12,6,Quiet,10,6
2006-12-30,2006,Winter,December,Yes,No,-9.7,-13.6,-5.1,0,4,NA,16,75.8,No,5.333,3,5,-13,20,Weak,9,5
2006-12-31,2006,Winter,December,Yes,No,-12.8,-15.2,-7.6,0,4,NA,28,77.4,No,2.6660000000000004,2,4,-15,15,Weak,5,2
2007-01-01,2007,Winter,January,Yes,No,-8.5,-15.2,-3.1,0,2,NA,38,80.5,No,16.334,9,12,-3,19,Quiet,12,4
2007-01-02,2007,Winter,January,Yes,No,-9.3,-10.8,-3.1,0.2,3,NA,42,84.1,No,29,24,25,-23,17,Weak,7,3
2007-01-03,2007,Winter,January,Yes,No,-9.1,-10.4,-7.2,4,2,NA,44,87,No,27.667,20,25,-24,17,Weak,8,8
2007-01-04,2007,Winter,January,Yes,No,-12.1,-15.1,-9.6,2.6,5,NA,44,84.8,No,25.667,17,21,-24,18,Weak,11,3
2007-01-05,2007,Winter,January,Yes,No,-21.3,-24.9,-15,0,4,NA,49,86.4,No,18,9,15,-21,18,Weak,16,3
2007-01-06,2007,Winter,January,Yes,No,-16.5,-20,-11.9,0,1,NA,47,86.5,No,10.333,5,9,-16,11,Weak,12,2
2007-01-07,2007,Winter,January,Yes,No,-15.1,-19.7,-10.6,0,1,NA,42,84.4,No,1.666,1,3,-16,14,Weak,6,1
2007-01-08,2007,Winter,January,Yes,No,-14.4,-18.6,-11.4,0.2,1,NA,52,83.9,No,5.999,3,6,-9,13,Quiet,10,1
2007-01-09,2007,Winter,January,No,No,-10.5,-12.9,-6.9,1.3,1,NA,47,85.1,No,7,4,8,-6,28,Weak,16,4
2007-01-10,2007,Winter,January,No,No,-12.7,-16.5,-9,0.9,1,NA,42,89.1,No,12.666,6,13,-14,23,Weak,21,3
2007-01-11,2007,Winter,January,No,No,-13,-18,-8.3,0,1,NA,40,83.3,No,13.666,6,12,-14,20,Weak,21,4
2007-01-12,2007,Winter,January,No,No,-12.2,-15.1,-8.5,0,3,NA,28,81.2,No,4.665,3,6,-20,13,Weak,14,11
2007-01-13,2007,Winter,January,Yes,No,-14.8,-17,-11.3,0,2,NA,30,81,No,0,0,0,-13,13,Weak,16,4
2007-01-14,2007,Winter,January,Yes,No,-13.8,-20,-5.5,0,1,NA,19,78.7,No,6.333,3,6,-5,14,Quiet,8,4
2007-01-15,2007,Winter,January,No,No,-8.8,-12.5,-4.4,0,2,NA,19,79.4,No,22.334,16,18,-17,26,Weak,8,4
2007-01-16,2007,Winter,January,No,No,-7.4,-12.3,-2.4,0.7,2,NA,19,79.3,No,18.667,14,17,-16,23,Weak,15,6
2007-01-17,2007,Winter,January,No,No,-10.8,-15.1,-6.4,0,2,NA,16,76.1,No,30.333,25,26,-27,15,Weak,5,7
2007-01-18,2007,Winter,January,No,No,-10.7,-12.1,-9.5,0.5,1,NA,17,75.6,No,26.665,18,24,-26,12,Weak,10,4
2007-01-19,2007,Winter,January,No,No,-11.2,-13.3,-8.5,0.6,1,NA,24,74.4,No,21.333,13,17,-24,13,Weak,9,10
2007-01-20,2007,Winter,January,Yes,No,-15.5,-19.4,-11.1,0,2,NA,19,73.9,No,15.999,8,13,-19,13,Weak,8,6
2007-01-21,2007,Winter,January,Yes,No,-13.3,-15.5,-10.4,0,1,NA,19,76.3,No,15.667,8,14,-17,17,Weak,10,8
2007-01-22,2007,Winter,January,No,No,-15.9,-19.8,-11,0,2,NA,21,76.1,No,5.668,3,6,-12,14,Quiet,10,3
2007-01-23,2007,Winter,January,No,No,-12.9,-17,-8.5,0,2,NA,17,76,No,5.332,3,4,-11,13,Quiet,22,4
2007-01-24,2007,Winter,January,No,No,-14.9,-17.7,-9.6,0,4,NA,19,76.8,No,4,2,3,-7,16,Quiet,10,9
